select Xtra_Curr.title, count(*) AS theCount
    FROM School_Xtracurr INNER JOIN Xtra_Curr
    ON School_Xtracurr.xtracurr_id = Xtra_Curr.id
    GROUP BY School_Xtracurr.xtracurr_id
    ORDER BY theCount DESC;

title                                                                                                 theCo
Beat Production & Studio Recording                                                                    1    
EMT Explorers                                                                                         1    
Explorer Program                                                                                      1    
Internships within FDNY                                                                               1    
Student Council Activities and Events                                                                 1    
PSAL Activities                                                                                       1    
Studio Recording                                                                                      1    
Step Program                                                                                          1    
SAGA Mathematics                                                                                      1    
Dance and Music Productions                                                                           1    
Student Executive Leadership Team                                                                     1    
Theater Company                                                                                       1    
College Planning and Access                                                                           1    
Open Lab                                                                                              1    
Transit Yearbook Club                                                                                 1    
Career Exploration                                                                                    1    
A+ Computer Repair Program                                                                            1    
Computer Literacy for Families                                                                        1    
Digital Filmmaking                                                                                    1    
Leadership through Community Service                                                                  1    
Open Act                                                                                              1    
Saturday Tutorials                                                                                    1    
Youth Ambassadors Program                                                                             1    
Mural Painting Club                                                                                   1    
Gay-Straight- Bisexual Alliance                                                                       1    
Women's Fitness Group                                                                                 1    
Women's Empowerment Group                                                                             1    
Opening Act (Theater)                                                                                 1    
Piano Club                                                                                            1    
Graphic Design Elective                                                                               1    
Campus Youth Leadership Group                                                                         1    
Leadership & Support: Skills                                                                          1    
USA                                                                                                   1    
National Thespian Society                                                                             1    
Teen Summit                                                                                           1    
Brooklyn Student Activity Council                                                                     1    
Male & Female Mentoring                                                                               1    
Teen Talk; Artistic: Photography                                                                      1    
Advertising Design                                                                                    1    
Parenting                                                                                             1    
Choir/Music                                                                                           1    
Girls Leadership                                                                                      1    
Dance Step Team                                                                                       1    
Fitness Club                                                                                          1    
Common Grounds                                                                                        1    
Student clubs and organizations will be connected to the health career pathways: Future Business Lea  1    
Future Health Professionals                                                                           1    
HealthCorps; Interested students will also be able to participate in the campus JROTC program         1    
Archon Community Honor Society                                                                        1    
Chinese New Year Show                                                                                 1    
Theater Guild                                                                                         1    
Tri-Music Honor Society; We offer over 40 after-school clubs                                          1    
Arista National Honors Society                                                                        1    
LINK                                                                                                  1    
Science League                                                                                        1    
Animal Club                                                                                           1    
A/V                                                                                                   1    
Blueprint Leadership                                                                                  1    
Explore Your City                                                                                     1    
Student Leadership Program                                                                            1    
Targeted Credit Recovery                                                                              1    
The Anchor: Literary Art Magazine                                                                     1    
The Pilot School Newspaper                                                                            1    
Theatrical Productions                                                                                1    
Joffrey Ballet                                                                                        1    
Make A Difference                                                                                     1    
Medical Science                                                                                       1    
Muslim Student Alliance                                                                               1    
Reach Out                                                                                             1    
Tech Squad                                                                                            1    
Computer Service Squad                                                                                1    
Environmentalist                                                                                      1    
FDR Theatre Guild                                                                                     1    
My Generation                                                                                         1    
Iron Chef                                                                                             1    
Literacy                                                                                              1    
Math Center                                                                                           1    
Regents Exam Preparation                                                                              1    
After-school Program collaboratively developed by teachers and students                               1    
After-school Tutorials                                                                                1    
Cross-age Tutoring                                                                                    1    
Environmental Science                                                                                 1    
Film and Video                                                                                        1    
New York Aquarium Internships                                                                         1    
Odyssey Blended Learning                                                                              1    
Rosetta Stone                                                                                         1    
Saturday School Tutorials                                                                             1    
YWCA Program and Special Trips                                                                        1    
Intel Research                                                                                        1    
Advisory Council                                                                                      1    
Cyclones Newspaper                                                                                    1    
Girls PowerPlay                                                                                       1    
DJ Class                                                                                              1    
Sport Management Seminar                                                                              1    
Acting Studio                                                                                         1    
Animal Care Squad                                                                                     1    
Conflict Negotiation and Mediation                                                                    1    
ELL Acting Studio                                                                                     1    
Landmark Yearbook                                                                                     1    
Lincoln Ambassadors                                                                                   1    
'Lincoln Log' Newspaper                                                                               1    
Marine Lab Squad                                                                                      1    
South Asian                                                                                           1    
All Subject Tutoring/Regents Prep                                                                     1    
Broadcasting                                                                                          1    
The Magnet Literary Magazine                                                                          1    
'The Network' Newspaper                                                                               1    
Big Brother Big Sister                                                                                1    
Directors' and Playwright's Workshop                                                                  1    
Guitar Fest                                                                                           1    
Italian-American Association                                                                          1    
Mecca                                                                                                 1    
Murrow Cares (Charity Drives)                                                                         1    
Murrow Speakers' Bureau                                                                               1    
Photography and Digital Art                                                                           1    
Poets' Corner                                                                                         1    
Student Alliance                                                                                      1    
Technical Theatre (Stage Crew)                                                                        1    
Two Dramatic Productions                                                                              1    
Two Musical Productions                                                                               1    
Vocal Fest                                                                                            1    
Vocal Tech                                                                                            1    
We The People                                                                                         1    
Yearbook; Students can choose to join over 50 different clubs and organizations                       1    
Asian-American                                                                                        1    
ASPIRA of New York Leadership Program                                                                 1    
Book Worms                                                                                            1    
Christian Culture                                                                                     1    
Council For Unity                                                                                     1    
Space Science                                                                                         1    
Angelo Del Toro Puerto Rican/Hispanic Leadership Internship Program                                   1    
Enviro-Horticulture                                                                                   1    
Foreign Languages Honor Society                                                                       1    
Hebrew Culture                                                                                        1    
Marine Science                                                                                        1    
Peer Mediation & Conflict Resolution                                                                  1    
Princeton Model Congress                                                                              1    
Student Organization & Leadership                                                                     1    
Student-Faculty Activities                                                                            1    
Theater & Performing Arts                                                                             1    
Theatre Development Fund (TDF) - Open Doors and Stage Doors                                           1    
Visual & Studio Arts Exposition                                                                       1    
After School Tutoring                                                                                 1    
iLEARN courses; and other programs of student interest based on grant funding                         1    
College Start                                                                                         1    
Computer/Technology Team                                                                              1    
The Walking Dead Critique Club                                                                        1    
Video Games                                                                                           1    
C-CAP                                                                                                 1    
Construction Skills                                                                                   1    
Work-Based Learning                                                                                   1    
Animal Activism Club                                                                                  1    
Jewish Club                                                                                           1    
Road Runners                                                                                          1    
Argus                                                                                                 1    
BioMed Society                                                                                        1    
Historical Society                                                                                    1    
Japanese Animation                                                                                    1    
Knitting Circle                                                                                       1    
Patterns                                                                                              1    
Political Discussion                                                                                  1    
Social and Emotional Learning                                                                         1    
and Yearbook; Midwood currently has more than 50 clubs                                                1    
Fidelitas                                                                                             1    
First Aide Club                                                                                       1    
Flag Squad                                                                                            1    
Law Journal                                                                                           1    
Letters to Heroes                                                                                     1    
Magic Club                                                                                            1    
Math Honor Society                                                                                    1    
Science Honor Society                                                                                 1    
Senior Yearbook                                                                                       1    
The Challenge                                                                                         1    
The Mouse Squad                                                                                       1    
Women's Empowerment                                                                                   1    
African American Club                                                                                 1    
B�nai B'rith                                                                                          1    
Center for Arts Education                                                                             1    
CUNY Arts                                                                                             1    
Gamers Club                                                                                           1    
Jewish Culture Club                                                                                   1    
Musical and Dramatic Plays                                                                            1    
Musical Concerts                                                                                      1    
Project Hope                                                                                          1    
Scholastic Art Competition                                                                            1    
Sci-Fi                                                                                                1    
Volunteer Activities                                                                                  1    
Middle College National Consortium Student Leadership Conference                                      1    
SmHeart Girls                                                                                         1    
and Peer Mediation are available year round; We also offer a variety of clubs and enrichment activit  1    
based on student interest                                                                             1    
including: Gaming Club                                                                                1    
Culture Club                                                                                          1    
Russian Language and Culture                                                                          1    
Muslim Student Association (MSA)                                                                      1    
and Sign Language                                                                                     1    
Games                                                                                                 1    
Peer Educators                                                                                        1    
Drum line                                                                                             1    
CookingTrack Club                                                                                     1    
Lunch time touch football                                                                             1    
Women in Science                                                                                      1    
Wellness Committee                                                                                    1    
Annual Cultural Heritage Celebration                                                                  1    
Annual Welcome Back BBQ                                                                               1    
RROCS                                                                                                 1    
Gentlemen Scholars                                                                                    1    
Poetry Out Loud Competition                                                                           1    
Student Ambassadors Program                                                                           1    
Arts Festival                                                                                         1    
Eagle Gives Back                                                                                      1    
After-School Band                                                                                     1    
Praise Dance Troupe                                                                                   1    
Future Teachers of America                                                                            1    
Girls� Leadership and Mentorship (GLAM)                                                               1    
Boys� Leadership                                                                                      1    
Game Design Club                                                                                      1    
DNA Research Team                                                                                     1    
Filipino American Human Services Inc. (FAHSI)                                                         1    
Kaplan SAT Program for Juniors and Sophomores                                                         1    
Rewarding Achievement (REACH)                                                                         1    
Museum Studies                                                                                        1    
Rocketry Club                                                                                         1    
�Cuidate! (Youth Development Program)                                                                 1    
Work Initiative Act (WIA) Youth Program                                                               1    
The New York Hall of Science                                                                          1    
College Preparatory                                                                                   1    
Latin and Modern Dance                                                                                1    
Chat and Chew                                                                                         1    
Sports�' Conditioning; Our clubs are based on our students�' interests and are subject to expansion   1    
Leadership Project                                                                                    1    
Advanced English                                                                                      1    
Art Design and Exhibition                                                                             1    
Baile Folklorico                                                                                      1    
Campa�a Verde                                                                                         1    
Comics                                                                                                1    
Drama Class                                                                                           1    
Family Festivals                                                                                      1    
History Regents Prep                                                                                  1    
Latino Youth for Higher Education Program (LYHEP)                                                     1    
Math Regents Prep                                                                                     1    
Science Regents Prep                                                                                  1    
Social Action Projects and Campaigns                                                                  1    
Student Congress                                                                                      1    
BHSEC Cares                                                                                           1    
Community Council                                                                                     1    
Literary Magazine (�HYPE�)                                                                            1    
Newspaper (�B.Q. Broadside�)                                                                          1    
Outing                                                                                                1    
The Alliance                                                                                          1    
Bengali Club                                                                                          1    
Math and Language Magazines                                                                           1    
Mediation and Negotiation                                                                             1    
Mu Alpha Theta (Math Honor Society)                                                                   1    
SPARK Peer Helpers                                                                                    1    
The Tower School Newspaper                                                                            1    
Computer Graphics/Art                                                                                 1    
International Bridge Building                                                                         1    
Musical and Play Productions                                                                          1    
Web Design/Internet                                                                                   1    
Early College Program                                                                                 1    
Middle College National Consortium                                                                    1    
Senior Council Committee                                                                              1    
Beginner Guitar                                                                                       1    
Community Service Project                                                                             1    
LaGuardia Community College classes and gym facilities                                                1    
YMCA for after-school sports (badminton                                                               1    
volleyball                                                                                            1    
soccer                                                                                                1    
basketball)                                                                                           1    
After-School tutoring                                                                                 1    
Computer Lab                                                                                          1    
Music club                                                                                            1    
Saturday Literacy Explorers Program                                                                   1    
Cultural clubs                                                                                        1    
International food festival                                                                           1    
Theater program                                                                                       1    
Photography Classes                                                                                   1    
Action Team                                                                                           1    
Ad Council                                                                                            1    
Advertising Futures Campaign                                                                          1    
AP History Team                                                                                       1    
Career Cruising                                                                                       1    
Carnegie Hall Concerts and In-School Workshops                                                        1    
DA Richard A. Brown Student Leadership Program                                                        1    
Future Leaders of America (FBLA)                                                                      1    
Mathematica                                                                                           1    
Multicultural Performances                                                                            1    
Poem in Your Pocket                                                                                   1    
Principal�s Consultative Student Council                                                              1    
Senior Planning Committee                                                                             1    
Shakespeare Oratory Competition                                                                       1    
Spring Vocal and Instrumental Concert                                                                 1    
Story Corps                                                                                           1    
Student Center                                                                                        1    
Wellness Team                                                                                         1    
Winter Arts Festival                                                                                  1    
Chess Team (nationally ranked)                                                                        1    
Computer (IT) Club; Robotics; Yoga Club                                                               1    
College Readiness                                                                                     1    
EatWise                                                                                               1    
Full piano lab with 30 keyboards                                                                      1    
Garden Club at Long Island City Roots Community Garden                                                1    
Chinese Calligraphy                                                                                   1    
Anime; Multiple field trips to museums and galleries; Music Composition Lab                           1    
Portfolio development for students interested in applying to art school; School Leadership Team       1    
Student Talent Showcases; Theater program with professional-level productions; Tutoring in all acade  1    
Classics                                                                                              1    
Art Exhibitions                                                                                       1    
Future Doctors                                                                                        1    
4H Club                                                                                               1    
Junior State of America                                                                               1    
Maspeth Aeronautics and Space Association (MASA)                                                      1    
Homeric Society                                                                                       1    
Gilder Lehrman                                                                                        1    
MHS Choir                                                                                             1    
Speech Team                                                                                           1    
Unity                                                                                                 1    
Creative Arts Group                                                                                   1    
Presidential Honor Society                                                                            1    
Vocational Voice School Newspaper                                                                     1    
Air Force Junior Reserve Officers� Training Corps (AFJROTC)                                           1    
Air Traffic Control Club                                                                              1    
Aircraft Structural Repair                                                                            1    
Muslim Club                                                                                           1    
Aviation High School Band/Music                                                                       1    
FIRST Robotics Team                                                                                   1    
Math Leaders                                                                                          1    
Mock Trial and Moot Court                                                                             1    
Pegasus Technical Honor Society                                                                       1    
Presidents�/Captains� Association                                                                     1    
Science Leadership Institute                                                                          1    
Sister Circle                                                                                         1    
Concert and Jazz Bands                                                                                1    
Math Society                                                                                          1    
Youth Development Program                                                                             1    
Fitness and Sports Program                                                                            1    
Community Arts                                                                                        1    
Daily Tutoring; We plan to offer Language Lab                                                         1    
and others proposed by students                                                                       1    
and PM or Saturday school as needed; Taekwondo and Korean traditional dance classes through partners  1    
Early Morning Tutoring                                                                                1    
Ivy Society                                                                                           1    
Math Tutorial                                                                                         1    
Silver Chord                                                                                          1    
Yearbook; Students are encouraged to initiate clubs pertaining to their individual interests          1    
Before- and after-school academic support; Book                                                       1    
Digital Video/Photography                                                                             1    
IT; Green Team                                                                                        1    
Korean Fan Dancing                                                                                    1    
MultiSquad (Multicultural Student Group); Regents Prep                                                1    
Science Challenge                                                                                     1    
Dream Team                                                                                            1    
All School Yearbook                                                                                   1    
Can You 24?                                                                                           1    
Chinese Erhu                                                                                          1    
Cultural Studies in China                                                                             1    
Dance Show                                                                                            1    
Junior NAACP Club                                                                                     1    
Korean Painting                                                                                       1    
Korean POP Dance                                                                                      1    
Leadership Trip to Korea                                                                              1    
Literacy Lab                                                                                          1    
Multicultural Night                                                                                   1    
NYPD Explorers Program                                                                                1    
OST Homework Help                                                                                     1    
Summer in Japan                                                                                       1    
Talent Show; Other clubs by student request                                                           1    
Broadcast                                                                                             1    
Competitive Speech and Debate                                                                         1    
Election Connection                                                                                   1    
Friday Jam                                                                                            1    
Principal's Advisory                                                                                  1    
Town Hall                                                                                             1    
Videography                                                                                           1    
Agriculture Publication                                                                               1    
Agriculture Sales Team                                                                                1    
Anti-Bullying Alliance                                                                                1    
Aspire                                                                                                1    
Chemistry Olympiad                                                                                    1    
College Now                                                                                           1    
College Visitations                                                                                   1    
Desi Club                                                                                             1    
Educate for Peace and Progress                                                                        1    
Envirothon Team                                                                                       1    
Duelist Club                                                                                          1    
Equine Team                                                                                           1    
Floriculture                                                                                          1    
Freshman Year Initiative                                                                              1    
Future Farmers of America (FFA)                                                                       1    
In-House Plant Science                                                                                1    
Indo-Pak                                                                                              1    
Junior Air Force ROTC Drill Team                                                                      1    
K-Pop                                                                                                 1    
Livestock Judging Team                                                                                1    
N.Y.C.S.E.F                                                                                           1    
S.I.S.                                                                                                1    
Civil Engineering                                                                                     1    
School Dance                                                                                          1    
Small Animal Care                                                                                     1    
Student Ambassador                                                                                    1    
Student Animal Science/Plant Science Competitions                                                     1    
Winter Carnival                                                                                       1    
Attendance Intervention Program                                                                       1    
Beginning Vocal                                                                                       1    
Honors Chorus                                                                                         1    
Leo's Club                                                                                            1    
Sports and Arts High School Today Program                                                             1    
American Classic League Honor Awards Society                                                          1    
Archon Student Service Honor Society                                                                  1    
The Classic School Newspaper                                                                          1    
Crimson and Gold Yearbook                                                                             1    
Festival of Nations                                                                                   1    
Freshman Grade Leaders                                                                                1    
The Journal of Science Research                                                                       1    
Junior Grade Leaders                                                                                  1    
Moot Court; Mu Alpha Theta Honor Society                                                              1    
